date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:49:33	4336/4336	---MCZ	200	added ('OK')	application/javascript	etag:W/%2210f0-61b294684f835%22	http://resources.infolinks.com/js/infolinks_main.js	D:/html/java/java.scjp.jobs4times.com/resources.infolinks.com/js/infolinks_main.js	(from https://java.scjp.jobs4times.com/)
20:49:33	1077/1077	---M--	200	added ('OK')	image/gif	date:Thu,%2005%20Dec%202013%2020:38:36%20GMT	https://java.scjp.jobs4times.com/white.gif	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/white.gif	(from https://java.scjp.jobs4times.com/styles.css)
20:49:33	7023/7023	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Dec%202013%2020:38:15%20GMT	https://java.scjp.jobs4times.com/ricebk.jpg	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/ricebk.jpg	(from https://java.scjp.jobs4times.com/styles.css)
20:49:34	3830/3830	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20Aug%202018%2010:44:11%20GMT	https://java.scjp.jobs4times.com/index.html	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/index-2.html	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:35	315167/315167	---M--	200	added ('OK')	image/jpeg	date:Thu,%2026%20Feb%202015%2010:33:39%20GMT	https://img.logos.jobs4times.com/banner%20J4T.jpg	D:/html/java/java.scjp.jobs4times.com/img.logos.jobs4times.com/banner%20J4T.jpg	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:35	180567/180567	---M--	200	added ('OK')	image/jpeg	date:Mon,%2016%20Nov%202015%2010:47:58%20GMT	https://img.logos.jobs4times.com/as2.jpg	D:/html/java/java.scjp.jobs4times.com/img.logos.jobs4times.com/as2.jpg	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:35	9168/9168	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image001.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image001.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:35	16391/16391	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image004.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image004.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:35	27644/27644	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image006.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image006.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:36	36484/36484	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image009.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image009.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:36	12484/12484	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image011.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image011.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:36	21276/21276	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image013.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image013.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:36	8842/8842	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image015.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image015.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:36	6578/6578	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image017.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image017.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:37	2673/2673	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image021.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image021.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:37	2134/2134	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image023.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image023.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:37	3877/3877	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image025.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image025.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:37	10668/10668	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image027.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image027.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:38	2427/2427	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image029.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image029.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:38	2543/2543	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:34%20GMT	https://java.scjp.jobs4times.com/fund/image031.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image031.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:38	7341/7341	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:34%20GMT	https://java.scjp.jobs4times.com/fund/image033.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image033.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:38	2534/2534	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image035.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image035.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:38	3503/3503	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image037.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image037.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:39	11199/11199	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image039.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image039.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:39	3211/3211	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image041.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image041.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:39	3206/3206	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image043.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image043.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:39	11253/11253	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image045.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image045.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:40	1615/1615	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:34%20GMT	https://java.scjp.jobs4times.com/fund/image047.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image047.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:40	4461/4461	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image049.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image049.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:40	19175/19175	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image051.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image051.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:40	10412/10412	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image053.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image053.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:40	6303/6303	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image055.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image055.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:41	980/980	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image057.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image057.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:41	8277/8277	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image059.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image059.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:41	9797/9797	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image061.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image061.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:41	9600/9600	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image063.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image063.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:42	16973/16973	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image065.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image065.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:42	21151/21151	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/fund.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/fund.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:42	2658/2658	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image069.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image069.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:42	3421/3421	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image072.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image072.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:42	3368/3368	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image074.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image074.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:43	3266/3266	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image076.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image076.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:43	3892/3892	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image078.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image078.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:43	8403/8403	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:34%20GMT	https://java.scjp.jobs4times.com/fund/image080.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image080.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:43	16395/16395	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:34%20GMT	https://java.scjp.jobs4times.com/fund/image082.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image082.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:44	9383/9383	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image086.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image086.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:44	9185/9185	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:34%20GMT	https://java.scjp.jobs4times.com/fund/image089.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image089.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:44	33571/33571	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/fund1.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/fund1.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:44	4953/4953	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image091.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image091.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:44	18678/18678	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:34%20GMT	https://java.scjp.jobs4times.com/fund/image093.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image093.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:45	3820/3820	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image095.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image095.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:45	9156/9156	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image098.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image098.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:45	59931/59931	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:34%20GMT	https://java.scjp.jobs4times.com/fund/image102.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image102.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:45	10520/10520	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/image104.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/image104.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:46	37609/37609	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:33%20GMT	https://java.scjp.jobs4times.com/fund/fund2.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/fund/fund2.png	(from https://java.scjp.jobs4times.com/fundamental.htm)
20:49:46	7339/7339	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:32%20GMT	https://java.scjp.jobs4times.com/flow/image025.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/flow/image025.png	(from https://java.scjp.jobs4times.com/declarations.htm)
20:49:46	4759/4759	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:32%20GMT	https://java.scjp.jobs4times.com/flow/image027.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/flow/image027.png	(from https://java.scjp.jobs4times.com/declarations.htm)
20:49:46	9242/9242	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:32%20GMT	https://java.scjp.jobs4times.com/flow/image029.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/flow/image029.png	(from https://java.scjp.jobs4times.com/declarations.htm)
20:49:47	4213/4213	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:32%20GMT	https://java.scjp.jobs4times.com/flow/image031.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/flow/image031.png	(from https://java.scjp.jobs4times.com/declarations.htm)
20:49:47	10245/10245	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:32%20GMT	https://java.scjp.jobs4times.com/flow/image033.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/flow/image033.png	(from https://java.scjp.jobs4times.com/declarations.htm)
20:49:47	13113/13113	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:32%20GMT	https://java.scjp.jobs4times.com/flow/image035.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/flow/image035.png	(from https://java.scjp.jobs4times.com/declarations.htm)
20:49:47	27108/27108	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Feb%202015%2009:36:32%20GMT	https://java.scjp.jobs4times.com/flow/image037.png	D:/html/java/java.scjp.jobs4times.com/java.scjp.jobs4times.com/flow/image037.png	(from https://java.scjp.jobs4times.com/declarations.htm)
